company;bangdan_name;ranking;subject;price;unit;chengjiaov;saleVolume;odUrl
福建省思达来特服饰有限公司;防风冲锋衣榜;99;冬季新款简约百搭男外套轻薄防寒保暖排骨羽绒服男女同款潮牌上衣;142.0;件;0;100;https://detail.1688.com/offer/987359734220.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖市志蕴贸易有限公司;未上榜;0;轻薄羽绒服女短款2024年新款圆领薄款内胆修身内穿打底大码外套潮;49.00;件;0;6万;https://detail.1688.com/offer/656785716681.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
泉州市潮前品牌管理有限公司;运动长裤榜;211;羽绒服男秋冬季新款潮流男士外套轻薄冬装纯色休闲百搭翻领面包服;165.0;件;0;100;https://detail.1688.com/offer/990280606157.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
合肥逢生商贸有限责任公司;未上榜;0;男士冬季保暖鹅绒服男款保暖中老年可拆卸内胆羽绒服男士轻商务;165.5;件;0;1000;https://detail.1688.com/offer/736420353328.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
苏州莱诗优品服饰有限公司;未上榜;0;风衣款羽绒服秋冬新款90白鸭绒中长加厚羽绒服青年男士户外羽绒服;280.0;件;0;100;https://detail.1688.com/offer/832983704638.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
盛世保罗服装（山东）有限公司;未上榜;0;冲锋衣三合一定制印logo可拆卸羽绒内胆外套加绒餐饮工服广告风衣;42.00;件;销70+件;100;https://detail.1688.com/offer/990621314050.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
上海璨曦贸易有限公司;显瘦阔腿裤榜;133;2025冬季新中式国风香云纱提花木耳花边复古高级感羽绒服轻奢套;259.9;条;成交0.2万+元;1;https://detail.1688.com/offer/1004119870153.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
石狮博安德诺进出口贸易有限公司;运动长裤榜;259;翻领男士轻薄羽绒服冬季外套潮牌潮流夹克男装2025新款白鸭绒短款;169.0;件;0;100;https://detail.1688.com/offer/742694851245.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
泉州津卡侬服饰有限公司;跑步背心榜;61;24新款轻薄羽绒服男石墨烯内里防风保暖冬季连帽运动羽绒服女外套;139.0;件;0;300;https://detail.1688.com/offer/827278973521.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
泉州品阁丹盾服饰有限公司;运动长裤榜;248;石墨烯黑金羽绒服男冬季防风防泼水保暖休闲90白鸭绒外套男YR2025;140.0;件;0;34;https://detail.1688.com/offer/990319309768.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
鸭鸭品牌旗舰店;未上榜;0;【总裁系列】鸭鸭羽绒服男2025年冬季新品连帽时尚休闲百搭外套M;329.0;件;0;100;https://detail.1688.com/offer/980826335580.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
广州市捷展制衣有限公司;吊带榜;154;捷展男装|防泼水轻便连帽90绒羽绒服25冬季新款可收纳羽绒外套男;200.9;件;0;5000;https://detail.1688.com/offer/832788426543.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
义乌市尊龙供应链有限公司;未上榜;0;轻薄羽绒服男新款白鸭绒羽绒服冬季男保暖立领外套工厂羽绒服批发;105.0;件;0;200;https://detail.1688.com/offer/984649000628.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
石狮市梅丽莱特供应链管理有限公司;运动文胸榜;207;冬季防风防泼水连帽拉链外套白鸭绒轻薄保暖运动羽绒服女D25119;189.0;件;0;400;https://detail.1688.com/offer/982060679828.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
义乌市芊哚服饰有限公司;运动文胸榜;170;秋冬运动羽绒服女户外休闲轻薄白鹅绒立领防风保暖修身瑜伽服外套;149.0;件;0;100;https://detail.1688.com/offer/854993479960.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
杭州富阳晓夏雪服装工作室;未上榜;0;反季清仓！90白鸭绒 三防 轻巧保暖基础简约连帽羽绒服外套冬季女;179.0;件;0;200;https://detail.1688.com/offer/962472610985.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
瑞安市红墨服饰有限公司;弹力休闲裤榜;128;黑金鹅绒羽绒服女杨幂同款短款秋冬新款户外登山收腰羽绒服外套;310.0;件;0;200;https://detail.1688.com/offer/1004833755378.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
石狮市旺飞服装有限公司;运动长裤榜;139;羽绒服男2025冬季新款短款加绒加厚轻薄韩版潮流男士立领外套批发;83.00;件;0;22;https://detail.1688.com/offer/996583217716.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
杭州渴盼服饰有限公司;弹力休闲裤榜;177;羊毛90鹅绒羽绒服女短款面包服立领宽松高端加厚保暖外套冬季新款;1180;件;0;27;https://detail.1688.com/offer/991506716679.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
杭州盛都电子商务有限公司;吊带榜;199;【盛都】25冬新修身休闲运动风90白鸭绒轻薄短内胆上衣外套羽绒服;198.0;件;0;18;https://detail.1688.com/offer/989524663593.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖市寒川服装有限责任公司;白鸭绒童羽绒服榜;33;平湖驰新男式90绒纯色新款男装V领圆领马甲羽绒服背心大码外套;79.00;件;0;1万;https://detail.1688.com/offer/652249982580.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
杭州萧山戴村镇有山服饰商行;未上榜;0;新中式羽绒服90绒女白鸭绒短保暖灯芯绒冬加绒棉衣棉服外套C1115;169.0;件;0;52;https://detail.1688.com/offer/990300037451.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
